Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /api/items,50,82,77,95,98,107,71,107,0.000%,1.01893,1.28,0.18
TOTAL,50,82,77,95,98,107,71,107,0.000%,1.01893,1.28,0.18
