Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /api/items,100,151,146,166,168,202,138,205,0.000%,1.00867,1.34,0.19
TOTAL,100,151,146,166,168,202,138,205,0.000%,1.00867,1.34,0.19
