Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /api/items/900,1,165,165,165,165,165,165,165,0.000%,6.06061,2.82,1.14
GET /api/items/303,1,156,156,156,156,156,156,156,0.000%,6.41026,2.97,1.20
GET /api/items/230,1,142,142,142,142,142,142,142,0.000%,7.04225,3.27,1.32
PUT /api/items/009,1,150,150,150,150,150,150,150,0.000%,6.66667,3.08,1.95
GET /api/items/235,1,137,137,137,137,137,137,137,0.000%,7.29927,3.38,1.37
PUT /api/items/972,1,161,161,161,161,161,161,161,0.000%,6.21118,2.88,1.81
GET /api/items/076,1,136,136,136,136,136,136,136,0.000%,7.35294,3.40,1.38
GET /api/items/640,1,133,133,133,133,133,133,133,0.000%,7.51880,3.50,1.41
PUT /api/items/321,1,139,139,139,139,139,139,139,0.000%,7.19424,3.34,2.10
GET /api/items/978,1,135,135,135,135,135,135,135,0.000%,7.40741,3.18,1.39
PUT /api/items/205,1,162,162,162,162,162,162,162,0.000%,6.17284,2.86,1.80
TOTAL,1000,211,201,264,270,282,133,364,0.000%,33.92706,2653.34,7.38
