Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /api/items,50,71,73,91,93,103,54,103,0.000%,6.87096,934.54,1.23
GET /api/items/472,1,87,87,87,87,87,87,87,0.000%,11.49425,5.78,2.11
POST /api/items,15,74,71,88,89,92,60,92,0.000%,2.23680,1.04,0.66
PUT /api/items/154,1,77,77,77,77,77,77,77,0.000%,12.98701,6.53,3.74
GET /api/items/957,1,81,81,81,81,81,81,81,0.000%,12.34568,6.21,2.27
PUT /api/items/746,1,73,73,73,73,73,73,73,0.000%,13.69863,6.89,3.95
GET /api/items/091,1,82,82,82,82,82,82,82,0.000%,12.19512,6.12,2.24
PUT /api/items/558,1,62,62,62,62,62,62,62,0.000%,16.12903,8.11,4.65
GET /api/items/821,1,59,59,59,59,59,59,59,0.000%,16.94915,8.52,3.11
GET /api/items/899,1,64,64,64,64,64,64,64,0.000%,15.62500,7.86,2.87
PUT /api/items/418,1,62,62,62,62,62,62,62,0.000%,16.12903,8.11,4.65
GET /api/items/603,1,60,60,60,60,60,60,60,0.000%,16.66667,8.38,3.06
PUT /api/items/833,1,72,72,72,72,72,72,72,0.000%,13.88889,6.99,4.00
GET /api/items/829,1,79,79,79,79,79,79,79,0.000%,12.65823,6.37,2.32
PUT /api/items/642,1,70,70,70,70,70,70,70,0.000%,14.28571,7.18,4.12
GET /api/items/830,1,79,79,79,79,79,79,79,0.000%,12.65823,6.37,2.32
GET /api/items/828,1,71,71,71,71,71,71,71,0.000%,14.08451,7.08,2.59
PUT /api/items/555,1,63,63,63,63,63,63,63,0.000%,15.87302,7.98,4.57
GET /api/items/317,1,61,61,61,61,61,61,61,0.000%,16.39344,8.24,3.01
PUT /api/items/762,1,83,83,83,83,83,83,83,0.000%,12.04819,6.06,3.47
GET /api/items/264,2,91,91,92,92,92,91,92,0.000%,.93240,0.47,0.17
PUT /api/items/776,1,64,64,64,64,64,64,64,0.000%,15.62500,7.86,4.50
GET /api/items/657,1,77,77,77,77,77,77,77,0.000%,12.98701,6.53,2.38
GET /api/items/650,1,80,80,80,80,80,80,80,0.000%,12.50000,6.29,2.29
PUT /api/items/174,1,100,100,100,100,100,100,100,0.000%,10.00000,5.03,2.88
GET /api/items/588,1,59,59,59,59,59,59,59,0.000%,16.94915,8.52,3.11
PUT /api/items/125,1,62,62,62,62,62,62,62,0.000%,16.12903,8.11,4.65
GET /api/items/992,1,79,79,79,79,79,79,79,0.000%,12.65823,6.37,2.32
PUT /api/items/402,1,75,75,75,75,75,75,75,0.000%,13.33333,6.71,3.84
GET /api/items/361,1,66,66,66,66,66,66,66,0.000%,15.15152,7.62,2.78
PUT /api/items/939,1,60,60,60,60,60,60,60,0.000%,16.66667,8.38,4.80
GET /api/items/687,1,77,77,77,77,77,77,77,0.000%,12.98701,6.53,2.38
PUT /api/items/597,1,78,78,78,78,78,78,78,0.000%,12.82051,6.45,3.69
GET /api/items/249,1,67,67,67,67,67,67,67,0.000%,14.92537,7.49,2.74
PUT /api/items/711,1,72,72,72,72,72,72,72,0.000%,13.88889,6.97,4.00
GET /api/items/188,1,80,80,80,80,80,80,80,0.000%,12.50000,6.27,2.29
TOTAL,100,72,73,89,93,100,54,103,0.000%,13.74193,937.92,2.94
