Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /api/items,5000,1247,1307,1940,2136,2528,203,3789,0.000%,22.92695,5856.59,4.21
GET /api/items/649,3,905,1056,1468,1468,1468,193,1468,0.000%,.02664,0.01,0.00
POST /api/items,1500,1048,1073,1656,1828,2166,176,2896,0.000%,6.92537,3.31,2.06
PUT /api/items/295,1,204,204,204,204,204,204,204,0.000%,4.90196,2.19,1.43
GET /api/items/541,2,513,187,839,839,839,187,839,0.000%,.01110,0.00,0.00
PUT /api/items/737,4,693,462,1528,1528,1528,199,1528,0.000%,.02065,0.01,0.01
GET /api/items/139,2,256,193,319,319,319,193,319,0.000%,.00958,0.00,0.00
PUT /api/items/091,3,707,729,1189,1189,1189,203,1189,0.000%,.05490,0.02,0.02
GET /api/items/143,3,1173,1272,2057,2057,2057,191,2057,0.000%,.01776,0.01,0.00
GET /api/items/529,3,593,374,1209,1209,1209,198,1209,0.000%,.01459,0.01,0.00
GET /api/items/972,2,754,194,1314,1314,1314,194,1314,0.000%,.02459,0.01,0.00
PUT /api/items/352,3,1014,1361,1487,1487,1487,196,1487,0.000%,.04433,0.02,0.01
GET /api/items/017,2,741,203,1280,1280,1280,203,1280,0.000%,.01111,0.00,0.00
PUT /api/items/040,1,209,209,209,209,209,209,209,0.000%,4.78469,2.14,1.40
PUT /api/items/801,4,503,491,662,662,662,207,662,0.000%,.01947,0.01,0.01
GET /api/items/734,4,718,336,1668,1668,1668,191,1668,0.000%,.01995,0.01,0.00
GET /api/items/465,3,989,1310,1451,1451,1451,207,1451,0.000%,.01959,0.01,0.00
GET /api/items/718,1,207,207,207,207,207,207,207,0.000%,4.83092,2.16,0.91
GET /api/items/366,2,1015,284,1747,1747,1747,284,1747,0.000%,.01427,0.01,0.00
PUT /api/items/959,4,1072,795,1826,1826,1826,201,1826,0.000%,.03620,0.02,0.01
PUT /api/items/771,3,1161,1567,1691,1691,1691,225,1691,0.000%,.02313,0.01,0.01
GET /api/items/016,3,726,876,1098,1098,1098,205,1098,0.000%,.01968,0.01,0.00
PUT /api/items/500,3,834,424,1871,1871,1871,208,1871,0.000%,.01628,0.01,0.00
GET /api/items/042,2,535,206,864,864,864,206,864,0.000%,.01107,0.00,0.00
GET /api/items/431,3,1185,393,2958,2958,2958,206,2958,0.000%,.01534,0.01,0.00
GET /api/items/531,4,638,340,1122,1122,1122,197,1122,0.000%,.02442,0.01,0.00
PUT /api/items/060,3,970,811,1890,1890,1890,209,1890,0.000%,.02494,0.01,0.01
PUT /api/items/955,2,956,221,1692,1692,1692,221,1692,0.000%,.01893,0.01,0.01
PUT /api/items/064,4,1040,581,2730,2730,2730,221,2730,0.000%,.02091,0.01,0.01
GET /api/items/587,3,412,237,767,767,767,232,767,0.000%,.08655,0.04,0.02
GET /api/items/592,1,231,231,231,231,231,231,231,0.000%,4.32900,1.94,0.81
GET /api/items/806,6,1024,1044,1366,1967,1967,233,1967,0.000%,.03010,0.01,0.01
GET /api/items/039,6,937,417,1624,2067,2067,216,2067,0.000%,.03472,0.02,0.01
PUT /api/items/767,2,784,225,1344,1344,1344,225,1344,0.000%,.01987,0.01,0.01
PUT /api/items/899,2,840,222,1459,1459,1459,222,1459,0.000%,.01740,0.01,0.01
GET /api/items/333,3,769,855,1127,1127,1127,325,1127,0.000%,.02154,0.01,0.00
PUT /api/items/049,1,233,233,233,233,233,233,233,0.000%,4.29185,1.92,1.25
GET /api/items/324,2,934,233,1635,1635,1635,233,1635,0.000%,.02413,0.01,0.00
GET /api/items/727,4,1282,1378,1990,1990,1990,229,1990,0.000%,.03067,0.01,0.01
GET /api/items/765,4,1491,1566,2103,2103,2103,238,2103,0.000%,.02710,0.01,0.01
PUT /api/items/284,2,805,223,1387,1387,1387,223,1387,0.000%,.01065,0.00,0.00
PUT /api/items/306,2,614,222,1006,1006,1006,222,1006,0.000%,.01093,0.00,0.00
GET /api/items/250,3,905,1093,1412,1412,1412,211,1412,0.000%,.01829,0.01,0.00
PUT /api/items/887,1,243,243,243,243,243,243,243,0.000%,4.11523,1.84,1.20
GET /api/items/673,3,816,759,1452,1452,1452,238,1452,0.000%,.02375,0.01,0.00
GET /api/items/925,2,328,320,337,337,337,320,337,0.000%,.01008,0.00,0.00
PUT /api/items/445,4,543,580,703,703,703,231,703,0.000%,.10103,0.05,0.03
GET /api/items/024,7,1045,889,1863,2479,2479,245,2479,0.000%,.03549,0.02,0.01
PUT /api/items/404,4,1221,1409,1796,1796,1796,239,1796,0.000%,.02747,0.01,0.01
GET /api/items/090,4,706,411,1551,1551,1551,242,1551,0.000%,.02005,0.01,0.00
PUT /api/items/898,3,1169,1578,1692,1692,1692,239,1692,0.000%,.02023,0.01,0.01
GET /api/items/394,1,231,231,231,231,231,231,231,0.000%,4.32900,1.94,0.81
GET /api/items/821,7,950,818,1477,1815,1815,230,1815,0.000%,.04641,0.02,0.01
GET /api/items/650,5,1255,1282,1354,2310,2310,230,2310,0.000%,.03079,0.01,0.01
PUT /api/items/631,3,1096,1458,1601,1601,1601,230,1601,0.000%,.02620,0.01,0.01
PUT /api/items/693,1,257,257,257,257,257,257,257,0.000%,3.89105,1.74,1.14
GET /api/items/713,3,749,484,1526,1526,1526,238,1526,0.000%,.03265,0.01,0.01
PUT /api/items/908,4,784,341,1485,1485,1485,233,1485,0.000%,.02103,0.01,0.01
GET /api/items/608,2,951,244,1658,1658,1658,244,1658,0.000%,.01834,0.01,0.00
GET /api/items/888,3,1174,1456,1836,1836,1836,230,1836,0.000%,.02277,0.01,0.00
PUT /api/items/511,2,890,254,1527,1527,1527,254,1527,0.000%,.01480,0.01,0.00
PUT /api/items/854,3,1019,1394,1438,1438,1438,227,1438,0.000%,.01834,0.01,0.01
GET /api/items/355,1,249,249,249,249,249,249,249,0.000%,4.01606,1.80,0.75
PUT /api/items/557,2,822,265,1379,1379,1379,265,1379,0.000%,.02914,0.01,0.01
GET /api/items/640,2,584,263,905,905,905,263,905,0.000%,.01069,0.00,0.00
GET /api/items/178,4,485,469,635,635,635,247,635,0.000%,.02021,0.01,0.00
GET /api/items/578,2,771,264,1278,1278,1278,264,1278,0.000%,.01716,0.01,0.00
PUT /api/items/601,1,254,254,254,254,254,254,254,0.000%,3.93701,1.76,1.15
GET /api/items/517,2,831,252,1410,1410,1410,252,1410,0.000%,.03017,0.01,0.01
PUT /api/items/105,3,726,358,1576,1576,1576,244,1576,0.000%,.07387,0.03,0.02
PUT /api/items/584,2,904,265,1544,1544,1544,265,1544,0.000%,.01938,0.01,0.01
GET /api/items/671,3,1223,1628,1767,1767,1767,276,1767,0.000%,.02375,0.01,0.00
GET /api/items/079,3,460,279,850,850,850,251,850,0.000%,.01479,0.01,0.00
PUT /api/items/244,3,711,941,949,949,949,245,949,0.000%,.02126,0.01,0.01
GET /api/items/554,4,849,305,1507,1507,1507,261,1507,0.000%,.01980,0.01,0.00
GET /api/items/480,4,661,381,1117,1117,1117,247,1117,0.000%,.08931,0.04,0.02
PUT /api/items/738,1,240,240,240,240,240,240,240,0.000%,4.16667,1.86,1.22
PUT /api/items/796,3,481,270,910,910,910,265,910,0.000%,.01966,0.01,0.01
GET /api/items/668,4,1217,1252,1770,1770,1770,263,1770,0.000%,.04015,0.02,0.01
GET /api/items/147,5,745,525,686,1806,1806,234,1806,0.000%,.02604,0.01,0.00
GET /api/items/437,1,275,275,275,275,275,275,275,0.000%,3.63636,1.63,0.68
GET /api/items/760,3,1139,1576,1598,1598,1598,244,1598,0.000%,.03036,0.01,0.01
PUT /api/items/129,2,514,285,743,743,743,285,743,0.000%,.01050,0.00,0.00
PUT /api/items/201,3,1186,1575,1718,1718,1718,265,1718,0.000%,.01694,0.01,0.00
PUT /api/items/989,3,483,318,871,871,871,262,871,0.000%,.01738,0.01,0.01
GET /api/items/682,2,435,261,609,609,609,261,609,0.000%,.07335,0.03,0.01
GET /api/items/597,3,898,850,1594,1594,1594,252,1594,0.000%,.03284,0.01,0.01
GET /api/items/844,2,934,261,1608,1608,1608,261,1608,0.000%,.02038,0.01,0.00
PUT /api/items/695,2,964,247,1682,1682,1682,247,1682,0.000%,.01161,0.01,0.00
GET /api/items/193,4,1094,799,1941,1941,1941,243,1941,0.000%,.02546,0.01,0.00
PUT /api/items/653,2,923,270,1576,1576,1576,270,1576,0.000%,.01547,0.01,0.00
PUT /api/items/153,2,276,255,297,297,297,255,297,0.000%,.43281,0.19,0.13
GET /api/items/857,2,524,250,798,798,798,250,798,0.000%,.11163,0.05,0.02
GET /api/items/662,3,1292,1791,1824,1824,1824,262,1824,0.000%,.02235,0.01,0.00
GET /api/items/861,2,576,255,897,897,897,255,897,0.000%,.01111,0.00,0.00
PUT /api/items/818,2,678,256,1100,1100,1100,256,1100,0.000%,.04140,0.02,0.01
GET /api/items/098,3,1069,1192,1743,1743,1743,274,1743,0.000%,.01894,0.01,0.00
PUT /api/items/900,2,857,259,1456,1456,1456,259,1456,0.000%,.02964,0.01,0.01
PUT /api/items/471,2,1163,273,2054,2054,2054,273,2054,0.000%,.01164,0.01,0.00
GET /api/items/784,2,466,257,675,675,675,257,675,0.000%,.07339,0.03,0.01
GET /api/items/399,6,984,1086,1363,1512,1512,277,1512,0.000%,.03964,0.02,0.01
GET /api/items/299,3,692,255,1622,1622,1622,199,1622,0.000%,.01464,0.01,0.00
PUT /api/items/634,1,256,256,256,256,256,256,256,0.000%,3.90625,1.75,1.14
GET /api/items/634,3,944,1007,1547,1547,1547,278,1547,0.000%,.01854,0.01,0.00
PUT /api/items/210,1,272,272,272,272,272,272,272,0.000%,3.67647,1.64,1.07
PUT /api/items/770,2,968,275,1662,1662,1662,275,1662,0.000%,.01321,0.01,0.00
GET /api/items/433,5,1275,1337,1436,2010,2010,289,2010,0.000%,.04036,0.02,0.01
GET /api/items/534,3,437,282,761,761,761,268,761,0.000%,.12451,0.06,0.02
GET /api/items/726,4,774,354,1414,1414,1414,278,1414,0.000%,.02029,0.01,0.00
PUT /api/items/744,3,817,1049,1137,1137,1137,267,1137,0.000%,.02249,0.01,0.01
GET /api/items/655,2,679,265,1094,1094,1094,265,1094,0.000%,.01269,0.01,0.00
PUT /api/items/478,1,265,265,265,265,265,265,265,0.000%,3.77358,1.69,1.10
GET /api/items/272,3,805,697,1441,1441,1441,279,1441,0.000%,.03038,0.01,0.01
GET /api/items/958,3,683,716,1056,1056,1056,279,1056,0.000%,.05926,0.03,0.01
GET /api/items/936,1,266,266,266,266,266,266,266,0.000%,3.75940,1.68,0.70
PUT /api/items/517,1,300,300,300,300,300,300,300,0.000%,3.33333,1.49,0.97
GET /api/items/223,3,779,1007,1058,1058,1058,273,1058,0.000%,.02139,0.01,0.00
PUT /api/items/063,4,1036,327,2007,2007,2007,265,2007,0.000%,.02056,0.01,0.01
PUT /api/items/731,4,898,282,2681,2681,2681,282,2681,0.000%,.02002,0.01,0.01
GET /api/items/165,2,389,279,500,500,500,279,500,0.000%,.01058,0.00,0.00
GET /api/items/049,1,278,278,278,278,278,278,278,0.000%,3.59712,1.61,0.67
PUT /api/items/844,2,321,270,372,372,372,270,372,0.000%,.05416,0.02,0.02
GET /api/items/780,6,1056,826,1700,2024,2024,278,2024,0.000%,.03312,0.01,0.01
GET /api/items/134,4,766,334,1486,1486,1486,270,1486,0.000%,.07955,0.04,0.01
PUT /api/items/310,2,716,274,1159,1159,1159,274,1159,0.000%,.01503,0.01,0.00
PUT /api/items/681,1,272,272,272,272,272,272,272,0.000%,3.67647,1.64,1.07
GET /api/items/941,3,1174,1507,1740,1740,1740,276,1740,0.000%,.02690,0.01,0.01
GET /api/items/768,2,990,270,1711,1711,1711,270,1711,0.000%,.02429,0.01,0.00
GET /api/items/421,5,1036,1176,1249,1732,1732,270,1732,0.000%,.03335,0.01,0.01
PUT /api/items/062,3,1115,1107,1969,1969,1969,270,1969,0.000%,.02200,0.01,0.01
PUT /api/items/657,3,1014,1265,1504,1504,1504,273,1504,0.000%,.03904,0.02,0.01
GET /api/items/672,4,1227,570,2079,2079,2079,269,2079,0.000%,.02242,0.01,0.00
PUT /api/items/449,3,1021,971,1823,1823,1823,269,1823,0.000%,.03354,0.02,0.01
GET /api/items/241,1,267,267,267,267,267,267,267,0.000%,3.74532,1.68,0.70
GET /api/items/145,4,803,780,1236,1236,1236,283,1236,0.000%,.02334,0.01,0.00
GET /api/items/638,8,991,907,1666,2075,2075,246,2075,0.000%,.04006,0.02,0.01
