Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /api/items/299,1,225,225,225,225,225,225,225,0.000%,4.44444,1.99,0.83
PUT /api/items/971,1,227,227,227,227,227,227,227,0.000%,4.40529,1.97,1.29
GET /api/items/374,1,233,233,233,233,233,233,233,0.000%,4.29185,1.92,0.80
PUT /api/items/858,2,243,242,244,244,244,242,244,0.000%,.23175,0.10,0.07
PUT /api/items/859,1,222,222,222,222,222,222,222,0.000%,4.50450,2.01,1.32
GET /api/items/105,1,220,220,220,220,220,220,220,0.000%,4.54545,2.03,0.85
GET /api/items/513,1,222,222,222,222,222,222,222,0.000%,4.50450,2.01,0.84
GET /api/items/557,1,227,227,227,227,227,227,227,0.000%,4.40529,1.97,0.83
PUT /api/items/891,1,229,229,229,229,229,229,229,0.000%,4.36681,1.95,1.28
GET /api/items/092,1,224,224,224,224,224,224,224,0.000%,4.46429,1.99,0.84
PUT /api/items/411,1,227,227,227,227,227,227,227,0.000%,4.40529,1.97,1.29
PUT /api/items/633,1,247,247,247,247,247,247,247,0.000%,4.04858,1.81,1.18
GET /api/items/738,1,221,221,221,221,221,221,221,0.000%,4.52489,2.02,0.85
GET /api/items/806,1,239,239,239,239,239,239,239,0.000%,4.18410,1.87,0.78
GET /api/items/494,2,231,228,235,235,235,228,235,0.000%,1.62075,0.72,0.30
PUT /api/items/718,1,242,242,242,242,242,242,242,0.000%,4.13223,1.85,1.21
GET /api/items/244,1,222,222,222,222,222,222,222,0.000%,4.50450,2.01,0.84
PUT /api/items/730,1,228,228,228,228,228,228,228,0.000%,4.38596,1.96,1.28
PUT /api/items/505,2,217,210,224,224,224,210,224,0.000%,.12502,0.06,0.04
GET /api/items/977,1,221,221,221,221,221,221,221,0.000%,4.52489,2.02,0.85
GET /api/items/956,1,234,234,234,234,234,234,234,0.000%,4.27350,1.91,0.80
GET /api/items/310,1,230,230,230,230,230,230,230,0.000%,4.34783,1.94,0.82
PUT /api/items/048,1,226,226,226,226,226,226,226,0.000%,4.42478,1.97,1.29
GET /api/items/329,1,233,233,233,233,233,233,233,0.000%,4.29185,1.92,0.80
PUT /api/items/175,2,223,222,224,224,224,222,224,0.000%,.57372,0.26,0.17
PUT /api/items/471,1,234,234,234,234,234,234,234,0.000%,4.27350,1.91,1.25
GET /api/items/567,1,243,243,243,243,243,243,243,0.000%,4.11523,1.84,0.77
GET /api/items/839,1,221,221,221,221,221,221,221,0.000%,4.52489,2.02,0.85
PUT /api/items/570,2,209,178,241,241,241,178,241,0.000%,.12061,0.05,0.04
PUT /api/items/937,2,244,242,246,246,246,242,246,0.000%,2.56082,1.15,0.75
