Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /api/items,50,192,193,204,205,258,176,258,0.000%,2.66085,362.37,0.49
GET /api/items/613,1,195,195,195,195,195,195,195,0.000%,5.12821,2.29,0.96
POST /api/items,15,179,184,188,189,195,168,195,0.000%,.86247,0.41,0.26
PUT /api/items/223,1,195,195,195,195,195,195,195,0.000%,5.12821,2.29,1.50
GET /api/items/722,1,193,193,193,193,193,193,193,0.000%,5.18135,2.32,0.97
PUT /api/items/198,1,199,199,199,199,199,199,199,0.000%,5.02513,2.25,1.47
GET /api/items/909,1,190,190,190,190,190,190,190,0.000%,5.26316,2.35,0.99
PUT /api/items/029,1,192,192,192,192,192,192,192,0.000%,5.20833,2.32,1.52
GET /api/items/245,1,189,189,189,189,189,189,189,0.000%,5.29101,2.37,0.99
GET /api/items/770,1,171,171,171,171,171,171,171,0.000%,5.84795,2.62,1.10
PUT /api/items/138,1,200,200,200,200,200,200,200,0.000%,5.00000,2.24,1.46
GET /api/items/637,1,173,173,173,173,173,173,173,0.000%,5.78035,2.59,1.08
PUT /api/items/872,1,195,195,195,195,195,195,195,0.000%,5.12821,2.29,1.50
GET /api/items/954,1,193,193,193,193,193,193,193,0.000%,5.18135,2.32,0.97
PUT /api/items/639,1,172,172,172,172,172,172,172,0.000%,5.81395,2.60,1.70
GET /api/items/625,1,186,186,186,186,186,186,186,0.000%,5.37634,2.40,1.01
GET /api/items/067,1,175,175,175,175,175,175,175,0.000%,5.71429,2.55,1.07
PUT /api/items/021,1,193,193,193,193,193,193,193,0.000%,5.18135,2.31,1.51
GET /api/items/406,1,167,167,167,167,167,167,167,0.000%,5.98802,2.68,1.12
PUT /api/items/276,1,174,174,174,174,174,174,174,0.000%,5.74713,2.57,1.68
GET /api/items/456,1,181,181,181,181,181,181,181,0.000%,5.52486,2.47,1.04
PUT /api/items/243,1,194,194,194,194,194,194,194,0.000%,5.15464,2.31,1.51
GET /api/items/903,1,170,170,170,170,170,170,170,0.000%,5.88235,2.63,1.10
GET /api/items/361,1,181,181,181,181,181,181,181,0.000%,5.52486,2.47,1.04
PUT /api/items/390,1,197,197,197,197,197,197,197,0.000%,5.07614,2.27,1.48
GET /api/items/291,1,172,172,172,172,172,172,172,0.000%,5.81395,2.60,1.09
PUT /api/items/338,1,194,194,194,194,194,194,194,0.000%,5.15464,2.31,1.51
GET /api/items/826,1,170,170,170,170,170,170,170,0.000%,5.88235,2.63,1.10
PUT /api/items/407,1,191,191,191,191,191,191,191,0.000%,5.23560,2.34,1.53
GET /api/items/279,1,178,178,178,178,178,178,178,0.000%,5.61798,2.51,1.05
GET /api/items/281,1,188,188,188,188,188,188,188,0.000%,5.31915,2.38,1.00
PUT /api/items/238,1,184,184,184,184,184,184,184,0.000%,5.43478,2.43,1.59
GET /api/items/104,1,184,184,184,184,184,184,184,0.000%,5.43478,2.43,1.02
PUT /api/items/917,1,185,185,185,185,185,185,185,0.000%,5.40541,2.42,1.58
GET /api/items/678,1,186,186,186,186,186,186,186,0.000%,5.37634,2.40,1.01
PUT /api/items/940,1,169,169,169,169,169,169,169,0.000%,5.91716,2.64,1.73
GET /api/items/084,1,171,171,171,171,171,171,171,0.000%,5.84795,2.60,1.10
TOTAL,100,187,187,202,204,207,167,258,0.000%,5.32170,363.59,1.16
