Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /api/items,2500,631,632,991,1123,1366,180,1872,0.000%,22.89755,4469.36,4.20
GET /api/items/689,3,326,191,598,598,598,189,598,0.000%,.03434,0.02,0.01
POST /api/items,750,546,530,868,984,1371,168,1841,0.000%,6.95868,3.33,2.07
PUT /api/items/338,2,438,176,701,701,701,176,701,0.000%,.07163,0.03,0.02
GET /api/items/396,3,375,433,512,512,512,180,512,0.000%,.03426,0.02,0.01
PUT /api/items/010,2,406,178,634,634,634,178,634,0.000%,.03333,0.01,0.01
GET /api/items/948,1,183,183,183,183,183,183,183,0.000%,5.46448,2.44,1.02
PUT /api/items/916,1,177,177,177,177,177,177,177,0.000%,5.64972,2.53,1.65
GET /api/items/200,1,191,191,191,191,191,191,191,0.000%,5.23560,2.34,0.98
GET /api/items/036,3,383,408,564,564,564,177,564,0.000%,.05014,0.02,0.01
GET /api/items/594,2,363,182,545,545,545,182,545,0.000%,.02711,0.01,0.01
PUT /api/items/693,1,198,198,198,198,198,198,198,0.000%,5.05051,2.26,1.47
PUT /api/items/547,2,468,180,757,757,757,180,757,0.000%,.02817,0.01,0.01
GET /api/items/617,1,195,195,195,195,195,195,195,0.000%,5.12821,2.29,0.96
PUT /api/items/181,3,280,306,358,358,358,178,358,0.000%,.14148,0.06,0.04
GET /api/items/755,1,177,177,177,177,177,177,177,0.000%,5.64972,2.53,1.06
GET /api/items/986,1,191,191,191,191,191,191,191,0.000%,5.23560,2.34,0.98
GET /api/items/571,2,358,183,533,533,533,183,533,0.000%,.02186,0.01,0.00
PUT /api/items/402,2,400,181,620,620,620,181,620,0.000%,.04880,0.02,0.01
PUT /api/items/703,2,445,194,696,696,696,194,696,0.000%,.02313,0.01,0.01
GET /api/items/847,3,519,530,828,828,828,201,828,0.000%,.07600,0.03,0.01
PUT /api/items/381,2,367,206,529,529,529,206,529,0.000%,.08382,0.04,0.02
GET /api/items/031,1,180,180,180,180,180,180,180,0.000%,5.55556,2.48,1.04
GET /api/items/744,2,333,179,488,488,488,179,488,0.000%,.02586,0.01,0.00
GET /api/items/272,2,283,189,377,377,377,189,377,0.000%,.02408,0.01,0.00
PUT /api/items/188,3,453,300,878,878,878,183,878,0.000%,.03333,0.01,0.01
PUT /api/items/955,2,339,191,487,487,487,191,487,0.000%,.06752,0.03,0.02
GET /api/items/673,2,276,204,349,349,349,204,349,0.000%,.02086,0.01,0.00
PUT /api/items/237,2,293,205,381,381,381,205,381,0.000%,.11806,0.05,0.03
GET /api/items/254,3,531,633,739,739,739,221,739,0.000%,.04058,0.02,0.01
GET /api/items/704,1,211,211,211,211,211,211,211,0.000%,4.73934,2.12,0.89
PUT /api/items/757,1,190,190,190,190,190,190,190,0.000%,5.26316,2.35,1.54
GET /api/items/756,1,202,202,202,202,202,202,202,0.000%,4.95050,2.21,0.93
PUT /api/items/539,2,400,208,592,592,592,208,592,0.000%,.02326,0.01,0.01
GET /api/items/708,3,325,202,597,597,597,176,597,0.000%,.02904,0.01,0.01
GET /api/items/491,1,186,186,186,186,186,186,186,0.000%,5.37634,2.40,1.01
PUT /api/items/771,3,271,281,333,333,333,200,333,0.000%,.03266,0.01,0.01
GET /api/items/510,2,369,223,516,516,516,223,516,0.000%,.07362,0.03,0.01
GET /api/items/554,2,453,198,709,709,709,198,709,0.000%,.02970,0.01,0.01
PUT /api/items/907,2,444,207,681,681,681,207,681,0.000%,.03166,0.01,0.01
PUT /api/items/218,4,630,672,888,888,888,220,888,0.000%,.05151,0.02,0.02
GET /api/items/505,3,387,434,511,511,511,218,511,0.000%,.03957,0.02,0.01
PUT /api/items/603,1,210,210,210,210,210,210,210,0.000%,4.76190,2.13,1.39
GET /api/items/836,1,199,199,199,199,199,199,199,0.000%,5.02513,2.25,0.94
GET /api/items/961,3,521,595,755,755,755,213,755,0.000%,.05317,0.02,0.01
GET /api/items/623,3,240,221,301,301,301,199,301,0.000%,.03331,0.01,0.01
PUT /api/items/543,2,282,209,355,355,355,209,355,0.000%,.02324,0.01,0.01
PUT /api/items/003,2,512,221,804,804,804,221,804,0.000%,.02919,0.01,0.01
GET /api/items/521,1,204,204,204,204,204,204,204,0.000%,4.90196,2.19,0.92
PUT /api/items/128,1,223,223,223,223,223,223,223,0.000%,4.48430,2.01,1.31
GET /api/items/783,2,516,206,827,827,827,206,827,0.000%,.07350,0.03,0.01
GET /api/items/007,3,427,384,669,669,669,230,669,0.000%,.04841,0.02,0.01
GET /api/items/008,2,360,221,499,499,499,221,499,0.000%,.02342,0.01,0.00
PUT /api/items/395,2,487,228,746,746,746,228,746,0.000%,.04048,0.02,0.01
PUT /api/items/474,2,256,222,291,291,291,222,291,0.000%,.02046,0.01,0.01
GET /api/items/258,2,415,205,625,625,625,205,625,0.000%,.03737,0.02,0.01
PUT /api/items/296,1,209,209,209,209,209,209,209,0.000%,4.78469,2.14,1.40
GET /api/items/223,2,442,228,657,657,657,228,657,0.000%,.04523,0.02,0.01
PUT /api/items/247,2,314,215,413,413,413,215,413,0.000%,.02543,0.01,0.01
GET /api/items/647,2,495,231,760,760,760,231,760,0.000%,.04370,0.02,0.01
PUT /api/items/564,1,217,217,217,217,217,217,217,0.000%,4.60829,2.06,1.35
GET /api/items/688,2,332,215,449,449,449,215,449,0.000%,.02677,0.01,0.01
PUT /api/items/404,1,221,221,221,221,221,221,221,0.000%,4.52489,2.02,1.32
GET /api/items/987,2,464,235,694,694,694,235,694,0.000%,.06107,0.03,0.01
GET /api/items/998,1,211,211,211,211,211,211,211,0.000%,4.73934,2.12,0.89
GET /api/items/775,3,474,532,674,674,674,217,674,0.000%,.04206,0.02,0.01
PUT /api/items/239,1,236,236,236,236,236,236,236,0.000%,4.23729,1.90,1.24
PUT /api/items/655,2,442,221,663,663,663,221,663,0.000%,.02445,0.01,0.01
GET /api/items/058,4,450,310,873,873,873,217,873,0.000%,.08615,0.04,0.02
PUT /api/items/285,1,215,215,215,215,215,215,215,0.000%,4.65116,2.08,1.36
GET /api/items/411,2,307,214,400,400,400,214,400,0.000%,.02315,0.01,0.00
GET /api/items/303,3,567,736,742,742,742,225,742,0.000%,.06342,0.03,0.01
GET /api/items/561,2,352,225,479,479,479,225,479,0.000%,.09007,0.04,0.02
PUT /api/items/502,2,372,230,514,514,514,230,514,0.000%,.02326,0.01,0.01
GET /api/items/433,3,401,416,562,562,562,227,562,0.000%,.04548,0.02,0.01
PUT /api/items/746,2,251,251,252,252,252,251,252,0.000%,.65020,0.29,0.19
PUT /api/items/098,1,250,250,250,250,250,250,250,0.000%,4.00000,1.79,1.17
