Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /api/items,500,102,102,116,122,127,76,451,0.000%,25.16103,3684.70,4.50
GET /api/items/187,1,92,92,92,92,92,92,92,0.000%,10.86957,4.73,1.98
POST /api/items,150,111,103,122,125,497,78,833,0.000%,7.73036,3.35,2.26
PUT /api/items/561,1,92,92,92,92,92,92,92,0.000%,10.86957,4.73,3.12
GET /api/items/925,2,91,91,92,92,92,91,92,0.000%,.10573,0.05,0.02
PUT /api/items/694,1,80,80,80,80,80,80,80,0.000%,12.50000,5.44,3.59
GET /api/items/060,1,84,84,84,84,84,84,84,0.000%,11.90476,5.16,2.17
PUT /api/items/467,1,81,81,81,81,81,81,81,0.000%,12.34568,5.38,3.54
GET /api/items/009,1,92,92,92,92,92,92,92,0.000%,10.86957,4.67,1.98
GET /api/items/301,1,102,102,102,102,102,102,102,0.000%,9.80392,4.27,1.79
PUT /api/items/545,1,80,80,80,80,80,80,80,0.000%,12.50000,5.44,3.59
GET /api/items/502,2,97,91,104,104,104,91,104,0.000%,.34489,0.15,0.06
PUT /api/items/017,3,103,104,122,122,122,83,122,0.000%,.35357,0.15,0.10
GET /api/items/978,1,103,103,103,103,103,103,103,0.000%,9.70874,4.23,1.77
GET /api/items/353,1,79,79,79,79,79,79,79,0.000%,12.65823,5.51,2.31
PUT /api/items/862,1,95,95,95,95,95,95,95,0.000%,10.52632,4.58,3.02
GET /api/items/606,1,80,80,80,80,80,80,80,0.000%,12.50000,5.44,2.28
GET /api/items/160,1,91,91,91,91,91,91,91,0.000%,10.98901,4.79,2.01
PUT /api/items/705,1,91,91,91,91,91,91,91,0.000%,10.98901,4.79,3.16
GET /api/items/707,2,82,77,88,88,88,77,88,0.000%,.46094,0.20,0.08
PUT /api/items/359,1,99,99,99,99,99,99,99,0.000%,10.10101,4.40,2.90
PUT /api/items/640,1,82,82,82,82,82,82,82,0.000%,12.19512,5.31,3.50
GET /api/items/521,1,78,78,78,78,78,78,78,0.000%,12.82051,5.58,2.34
