Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
PUT /api/items/266,1,135,135,135,135,135,135,135,0.000%,7.40741,3.73,2.13
PUT /api/items/150,1,122,122,122,122,122,122,122,0.000%,8.19672,4.12,2.36
PUT /api/items/121,2,126,116,137,137,137,116,137,0.000%,.99800,0.50,0.29
GET /api/items/324,1,111,111,111,111,111,111,111,0.000%,9.00901,4.53,1.65
PUT /api/items/145,1,128,128,128,128,128,128,128,0.000%,7.81250,3.93,2.25
GET /api/items/702,3,110,108,116,116,116,108,116,0.000%,.16749,0.08,0.03
GET /api/items/040,1,168,168,168,168,168,168,168,0.000%,5.95238,2.99,1.09
GET /api/items/150,5,327,166,207,1021,1021,107,1021,0.000%,.34468,0.17,0.06
PUT /api/items/494,1,100,100,100,100,100,100,100,0.000%,10.00000,5.03,2.88
GET /api/items/779,3,156,164,215,215,215,91,215,0.000%,.06619,0.03,0.01
GET /api/items/967,2,119,96,142,142,142,96,142,0.000%,.34632,0.17,0.06
GET /api/items/665,1,135,135,135,135,135,135,135,0.000%,7.40741,3.73,1.36
PUT /api/items/793,1,130,130,130,130,130,130,130,0.000%,7.69231,3.86,2.22
GET /api/items/337,1,130,130,130,130,130,130,130,0.000%,7.69231,3.87,1.41
PUT /api/items/990,1,110,110,110,110,110,110,110,0.000%,9.09091,4.57,2.62
GET /api/items/688,1,99,99,99,99,99,99,99,0.000%,10.10101,5.08,1.85
PUT /api/items/713,2,104,95,113,113,113,95,113,0.000%,.04471,0.02,0.01
PUT /api/items/663,1,109,109,109,109,109,109,109,0.000%,9.17431,4.61,2.64
GET /api/items/297,2,196,152,240,240,240,152,240,0.000%,.13217,0.07,0.02
GET /api/items/972,1,137,137,137,137,137,137,137,0.000%,7.29927,3.67,1.34
GET /api/items/385,2,140,114,166,166,166,114,166,0.000%,.07126,0.03,0.01
PUT /api/items/701,1,139,139,139,139,139,139,139,0.000%,7.19424,3.62,2.07
PUT /api/items/328,1,120,120,120,120,120,120,120,0.000%,8.33333,4.19,2.40
GET /api/items/569,1,96,96,96,96,96,96,96,0.000%,10.41667,5.24,1.91
PUT /api/items/238,1,119,119,119,119,119,119,119,0.000%,8.40336,4.22,2.42
GET /api/items/478,1,128,128,128,128,128,128,128,0.000%,7.81250,3.93,1.43
PUT /api/items/788,1,136,136,136,136,136,136,136,0.000%,7.35294,3.70,2.12
GET /api/items/653,3,128,139,155,155,155,91,155,0.000%,.26137,0.13,0.05
PUT /api/items/866,2,146,121,172,172,172,121,172,0.000%,.07997,0.04,0.02
PUT /api/items/720,1,127,127,127,127,127,127,127,0.000%,7.87402,3.96,2.27
GET /api/items/090,1,124,124,124,124,124,124,124,0.000%,8.06452,4.05,1.48
GET /api/items/616,1,133,133,133,133,133,133,133,0.000%,7.51880,3.78,1.38
GET /api/items/296,4,143,141,167,167,167,98,167,0.000%,.10076,0.05,0.02
PUT /api/items/346,1,116,116,116,116,116,116,116,0.000%,8.62069,4.33,2.48
PUT /api/items/991,1,151,151,151,151,151,151,151,0.000%,6.62252,3.33,1.91
GET /api/items/896,2,149,138,161,161,161,138,161,0.000%,.20012,0.10,0.04
PUT /api/items/565,1,179,179,179,179,179,179,179,0.000%,5.58659,2.81,1.61
GET /api/items/186,2,118,118,118,118,118,118,118,0.000%,.15967,0.08,0.03
PUT /api/items/478,2,138,130,146,146,146,130,146,0.000%,.22492,0.11,0.06
PUT /api/items/772,2,137,99,176,176,176,99,176,0.000%,.20923,0.11,0.06
GET /api/items/766,2,128,116,140,140,140,116,140,0.000%,.04923,0.02,0.01
PUT /api/items/010,1,119,119,119,119,119,119,119,0.000%,8.40336,4.22,2.42
GET /api/items/943,2,152,110,194,194,194,110,194,0.000%,.09112,0.05,0.02
GET /api/items/480,1,110,110,110,110,110,110,110,0.000%,9.09091,4.57,1.67
GET /api/items/084,1,174,174,174,174,174,174,174,0.000%,5.74713,2.89,1.06
PUT /api/items/028,2,108,96,121,121,121,96,121,0.000%,.52535,0.26,0.15
GET /api/items/885,2,181,174,189,189,189,174,189,0.000%,.09468,0.05,0.02
GET /api/items/151,2,135,121,149,149,149,121,149,0.000%,.56689,0.29,0.10
GET /api/items/768,1,107,107,107,107,107,107,107,0.000%,9.34579,4.70,1.72
GET /api/items/283,2,177,121,233,233,233,121,233,0.000%,.14439,0.07,0.03
PUT /api/items/313,1,123,123,123,123,123,123,123,0.000%,8.13008,4.09,2.34
GET /api/items/928,1,94,94,94,94,94,94,94,0.000%,10.63830,5.35,1.95
GET /api/items/523,1,95,95,95,95,95,95,95,0.000%,10.52632,5.29,1.93
PUT /api/items/492,2,145,113,177,177,177,113,177,0.000%,.06593,0.03,0.02
GET /api/items/431,4,160,139,204,204,204,127,204,0.000%,.13079,0.07,0.02
GET /api/items/374,1,107,107,107,107,107,107,107,0.000%,9.34579,4.70,1.72
PUT /api/items/582,1,111,111,111,111,111,111,111,0.000%,9.00901,4.53,2.60
PUT /api/items/579,2,143,98,188,188,188,98,188,0.000%,.05153,0.03,0.01
PUT /api/items/862,2,127,107,148,148,148,107,148,0.000%,.32056,0.16,0.09
GET /api/items/534,3,105,112,124,124,124,81,124,0.000%,.07516,0.04,0.01
GET /api/items/853,2,127,116,139,139,139,116,139,0.000%,.52466,0.26,0.10
PUT /api/items/307,3,129,115,167,167,167,105,167,0.000%,.09383,0.05,0.03
GET /api/items/011,2,180,135,225,225,225,135,225,0.000%,.07150,0.04,0.01
PUT /api/items/157,2,115,69,161,161,161,69,161,0.000%,.04563,0.02,0.01
GET /api/items/195,2,141,82,200,200,200,82,200,0.000%,.04548,0.02,0.01
GET /api/items/701,3,181,199,230,230,230,116,230,0.000%,.19699,0.10,0.04
PUT /api/items/327,2,184,127,241,241,241,127,241,0.000%,.11321,0.06,0.03
PUT /api/items/544,2,148,137,160,160,160,137,160,0.000%,.07172,0.04,0.02
GET /api/items/360,2,126,108,144,144,144,108,144,0.000%,.05036,0.03,0.01
GET /api/items/248,1,125,125,125,125,125,125,125,0.000%,8.00000,4.02,1.47
GET /api/items/061,2,139,138,141,141,141,138,141,0.000%,.14038,0.07,0.03
PUT /api/items/994,1,162,162,162,162,162,162,162,0.000%,6.17284,3.11,1.78
PUT /api/items/568,1,120,120,120,120,120,120,120,0.000%,8.33333,4.19,2.40
GET /api/items/315,2,161,119,204,204,204,119,204,0.000%,.06185,0.03,0.01
GET /api/items/884,1,107,107,107,107,107,107,107,0.000%,9.34579,4.70,1.72
PUT /api/items/876,2,138,128,149,149,149,128,149,0.000%,.12789,0.06,0.04
GET /api/items/575,2,148,79,217,217,217,79,217,0.000%,.04916,0.02,0.01
PUT /api/items/342,1,160,160,160,160,160,160,160,0.000%,6.25000,3.14,1.80
GET /api/items/368,3,177,179,215,215,215,139,215,0.000%,.09440,0.05,0.02
GET /api/items/192,1,162,162,162,162,162,162,162,0.000%,6.17284,3.10,1.13
GET /api/items/394,1,186,186,186,186,186,186,186,0.000%,5.37634,2.70,0.99
GET /api/items/645,2,101,88,115,115,115,88,115,0.000%,.04538,0.02,0.01
PUT /api/items/633,1,119,119,119,119,119,119,119,0.000%,8.40336,4.23,2.42
GET /api/items/018,2,142,142,143,143,143,142,143,0.000%,.06693,0.03,0.01
PUT /api/items/724,1,165,165,165,165,165,165,165,0.000%,6.06061,3.05,1.75
