Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
PUT /api/items/983,1,132,132,132,132,132,132,132,0.000%,7.57576,3.30,2.18
GET /api/items/814,1,148,148,148,148,148,148,148,0.000%,6.75676,2.94,1.23
PUT /api/items/148,1,139,139,139,139,139,139,139,0.000%,7.19424,3.13,2.07
PUT /api/items/076,1,126,126,126,126,126,126,126,0.000%,7.93651,3.45,2.28
GET /api/items/626,1,134,134,134,134,134,134,134,0.000%,7.46269,3.25,1.36
PUT /api/items/825,1,137,137,137,137,137,137,137,0.000%,7.29927,3.18,2.10
GET /api/items/148,1,120,120,120,120,120,120,120,0.000%,8.33333,3.63,1.52
PUT /api/items/912,1,136,136,136,136,136,136,136,0.000%,7.35294,3.20,2.11
PUT /api/items/042,1,120,120,120,120,120,120,120,0.000%,8.33333,3.62,2.39
PUT /api/items/626,1,128,128,128,128,128,128,128,0.000%,7.81250,3.40,2.24
GET /api/items/365,1,137,137,137,137,137,137,137,0.000%,7.29927,3.18,1.33
PUT /api/items/723,2,119,114,125,125,125,114,125,0.000%,.24941,0.11,0.07
GET /api/items/830,1,129,129,129,129,129,129,129,0.000%,7.75194,3.38,1.42
PUT /api/items/152,1,128,128,128,128,128,128,128,0.000%,7.81250,3.40,2.24
PUT /api/items/409,2,141,125,157,157,157,125,157,0.000%,1.68350,0.73,0.48
GET /api/items/540,1,136,136,136,136,136,136,136,0.000%,7.35294,3.20,1.34
GET /api/items/651,2,120,99,142,142,142,99,142,0.000%,.25873,0.11,0.05
PUT /api/items/614,2,130,117,143,143,143,117,143,0.000%,.23918,0.10,0.07
PUT /api/items/806,1,134,134,134,134,134,134,134,0.000%,7.46269,3.25,2.14
GET /api/items/641,1,146,146,146,146,146,146,146,0.000%,6.84932,2.98,1.25
PUT /api/items/385,1,144,144,144,144,144,144,144,0.000%,6.94444,3.02,1.99
GET /api/items/758,1,140,140,140,140,140,140,140,0.000%,7.14286,3.11,1.30
GET /api/items/582,1,136,136,136,136,136,136,136,0.000%,7.35294,3.20,1.34
PUT /api/items/486,1,143,143,143,143,143,143,143,0.000%,6.99301,2.80,2.01
GET /api/items/273,1,156,156,156,156,156,156,156,0.000%,6.41026,2.79,1.17
PUT /api/items/072,1,139,139,139,139,139,139,139,0.000%,7.19424,3.13,2.07
GET /api/items/083,1,150,150,150,150,150,150,150,0.000%,6.66667,2.88,1.22
GET /api/items/884,1,124,124,124,124,124,124,124,0.000%,8.06452,3.51,1.47
GET /api/items/597,1,134,134,134,134,134,134,134,0.000%,7.46269,3.25,1.36
PUT /api/items/321,1,116,116,116,116,116,116,116,0.000%,8.62069,3.75,2.48
GET /api/items/500,1,114,114,114,114,114,114,114,0.000%,8.77193,3.82,1.60
GET /api/items/013,1,148,148,148,148,148,148,148,0.000%,6.75676,2.94,1.23
PUT /api/items/421,3,140,142,157,157,157,123,157,0.000%,.80214,0.35,0.23
GET /api/items/694,1,153,153,153,153,153,153,153,0.000%,6.53595,2.85,1.19
PUT /api/items/921,1,131,131,131,131,131,131,131,0.000%,7.63359,3.32,2.19
GET /api/items/474,1,134,134,134,134,134,134,134,0.000%,7.46269,3.25,1.36
PUT /api/items/936,1,132,132,132,132,132,132,132,0.000%,7.57576,3.30,2.18
GET /api/items/687,1,138,138,138,138,138,138,138,0.000%,7.24638,3.16,1.32
GET /api/items/879,1,144,144,144,144,144,144,144,0.000%,6.94444,3.02,1.27
PUT /api/items/790,1,121,121,121,121,121,121,121,0.000%,8.26446,3.60,2.37
PUT /api/items/182,1,119,119,119,119,119,119,119,0.000%,8.40336,3.66,2.41
GET /api/items/847,1,124,124,124,124,124,124,124,0.000%,8.06452,3.50,1.47
GET /api/items/438,1,121,121,121,121,121,121,121,0.000%,8.26446,3.60,1.51
GET /api/items/574,1,128,128,128,128,128,128,128,0.000%,7.81250,3.40,1.43
PUT /api/items/024,1,122,122,122,122,122,122,122,0.000%,8.19672,3.56,2.35
GET /api/items/372,1,144,144,144,144,144,144,144,0.000%,6.94444,3.02,1.27
GET /api/items/216,1,134,134,134,134,134,134,134,0.000%,7.46269,3.25,1.36
PUT /api/items/780,1,137,137,137,137,137,137,137,0.000%,7.29927,3.18,2.10
GET /api/items/120,1,122,122,122,122,122,122,122,0.000%,8.19672,3.56,1.50
GET /api/items/588,1,123,123,123,123,123,123,123,0.000%,8.13008,3.54,1.48
GET /api/items/665,2,127,115,139,139,139,115,139,0.000%,.64704,0.28,0.12
GET /api/items/362,1,129,129,129,129,129,129,129,0.000%,7.75194,3.38,1.42
GET /api/items/968,1,137,137,137,137,137,137,137,0.000%,7.29927,3.18,1.33
GET /api/items/023,1,126,126,126,126,126,126,126,0.000%,7.93651,3.45,1.45
PUT /api/items/889,1,126,126,126,126,126,126,126,0.000%,7.93651,3.46,2.28
GET /api/items/675,2,137,135,140,140,140,135,140,0.000%,.65083,0.28,0.12
PUT /api/items/980,1,129,129,129,129,129,129,129,0.000%,7.75194,3.38,2.23
GET /api/items/284,1,143,143,143,143,143,143,143,0.000%,6.99301,2.80,1.28
PUT /api/items/223,1,122,122,122,122,122,122,122,0.000%,8.19672,3.57,2.35
GET /api/items/833,1,120,120,120,120,120,120,120,0.000%,8.33333,3.63,1.52
GET /api/items/708,2,126,103,149,149,149,103,149,0.000%,.29201,0.13,0.05
PUT /api/items/067,1,130,130,130,130,130,130,130,0.000%,7.69231,3.34,2.21
PUT /api/items/907,1,148,148,148,148,148,148,148,0.000%,6.75676,2.94,1.94
PUT /api/items/832,1,139,139,139,139,139,139,139,0.000%,7.19424,3.13,2.07
PUT /api/items/758,1,125,125,125,125,125,125,125,0.000%,8.00000,3.48,2.30
GET /api/items/778,2,144,114,174,174,174,114,174,0.000%,.36975,0.16,0.07
GET /api/items/442,1,181,181,181,181,181,181,181,0.000%,5.52486,2.41,1.01
PUT /api/items/850,1,225,225,225,225,225,225,225,0.000%,4.44444,1.94,1.28
GET /api/items/788,1,124,124,124,124,124,124,124,0.000%,8.06452,3.51,1.47
PUT /api/items/783,1,156,156,156,156,156,156,156,0.000%,6.41026,2.79,1.84
PUT /api/items/137,1,127,127,127,127,127,127,127,0.000%,7.87402,3.43,2.26
PUT /api/items/064,1,130,130,130,130,130,130,130,0.000%,7.69231,3.34,2.21
GET /api/items/009,1,152,152,152,152,152,152,152,0.000%,6.57895,2.85,1.20
PUT /api/items/925,1,126,126,126,126,126,126,126,0.000%,7.93651,3.46,2.28
GET /api/items/214,1,125,125,125,125,125,125,125,0.000%,8.00000,3.48,1.46
GET /api/items/019,1,138,138,138,138,138,138,138,0.000%,7.24638,3.13,1.32
GET /api/items/453,1,123,123,123,123,123,123,123,0.000%,8.13008,3.54,1.48
PUT /api/items/325,1,130,130,130,130,130,130,130,0.000%,7.69231,3.35,2.21
GET /api/items/929,1,131,131,131,131,131,131,131,0.000%,7.63359,3.32,1.39
GET /api/items/021,1,148,148,148,148,148,148,148,0.000%,6.75676,2.92,1.23
PUT /api/items/481,1,127,127,127,127,127,127,127,0.000%,7.87402,3.43,2.26
PUT /api/items/374,2,132,126,139,139,139,126,139,0.000%,2.59067,1.13,0.74
GET /api/items/267,1,138,138,138,138,138,138,138,0.000%,7.24638,3.16,1.32
GET /api/items/376,1,120,120,120,120,120,120,120,0.000%,8.33333,3.63,1.52
GET /api/items/650,1,141,141,141,141,141,141,141,0.000%,7.09220,3.09,1.30
GET /api/items/876,1,124,124,124,124,124,124,124,0.000%,8.06452,3.51,1.47
GET /api/items/199,1,135,135,135,135,135,135,135,0.000%,7.40741,3.23,1.35
GET /api/items/063,1,150,150,150,150,150,150,150,0.000%,6.66667,2.88,1.22
PUT /api/items/036,2,135,131,140,140,140,131,140,0.000%,.62247,0.27,0.18
GET /api/items/347,1,142,142,142,142,142,142,142,0.000%,7.04225,3.07,1.29
GET /api/items/180,1,117,117,117,117,117,117,117,0.000%,8.54701,3.72,1.56
GET /api/items/514,1,118,118,118,118,118,118,118,0.000%,8.47458,3.69,1.55
PUT /api/items/906,1,140,140,140,140,140,140,140,0.000%,7.14286,3.11,2.05
GET /api/items/976,2,117,111,124,124,124,111,124,0.000%,.85727,0.37,0.16
GET /api/items/066,1,112,112,112,112,112,112,112,0.000%,8.92857,3.88,1.63
PUT /api/items/670,1,114,114,114,114,114,114,114,0.000%,8.77193,3.82,2.52
PUT /api/items/514,1,116,116,116,116,116,116,116,0.000%,8.62069,3.75,2.48
PUT /api/items/537,1,118,118,118,118,118,118,118,0.000%,8.47458,3.69,2.43
GET /api/items/829,1,119,119,119,119,119,119,119,0.000%,8.40336,3.66,1.53
PUT /api/items/777,1,124,124,124,124,124,124,124,0.000%,8.06452,3.51,2.32
GET /api/items/623,1,119,119,119,119,119,119,119,0.000%,8.40336,3.66,1.53
PUT /api/items/782,1,122,122,122,122,122,122,122,0.000%,8.19672,3.57,2.35
GET /api/items/128,1,113,113,113,113,113,113,113,0.000%,8.84956,3.85,1.62
GET /api/items/706,1,124,124,124,124,124,124,124,0.000%,8.06452,3.51,1.47
PUT /api/items/255,1,120,120,120,120,120,120,120,0.000%,8.33333,3.62,2.39
GET /api/items/671,1,119,119,119,119,119,119,119,0.000%,8.40336,3.66,1.53
GET /api/items/025,1,124,124,124,124,124,124,124,0.000%,8.06452,3.50,1.47
PUT /api/items/499,1,138,138,138,138,138,138,138,0.000%,7.24638,3.16,2.08
PUT /api/items/668,1,116,116,116,116,116,116,116,0.000%,8.62069,3.75,2.48
GET /api/items/900,1,125,125,125,125,125,125,125,0.000%,8.00000,3.48,1.46
PUT /api/items/811,2,111,91,132,132,132,91,132,0.000%,.29253,0.13,0.08
GET /api/items/209,1,119,119,119,119,119,119,119,0.000%,8.40336,3.66,1.53
GET /api/items/395,1,134,134,134,134,134,134,134,0.000%,7.46269,3.24,1.36
GET /api/items/705,1,113,113,113,113,113,113,113,0.000%,8.84956,3.85,1.62
GET /api/items/127,1,116,116,116,116,116,116,116,0.000%,8.62069,3.75,1.57
PUT /api/items/216,1,119,119,119,119,119,119,119,0.000%,8.40336,3.66,2.41
PUT /api/items/268,1,121,121,121,121,121,121,121,0.000%,8.26446,3.60,2.37
GET /api/items/054,1,127,127,127,127,127,127,127,0.000%,7.87402,3.41,1.44
PUT /api/items/008,1,115,115,115,115,115,115,115,0.000%,8.69565,3.77,2.50
GET /api/items/868,2,115,97,134,134,134,97,134,0.000%,.62383,0.27,0.11
PUT /api/items/623,1,141,141,141,141,141,141,141,0.000%,7.09220,3.08,2.04
GET /api/items/100,1,134,134,134,134,134,134,134,0.000%,7.46269,3.25,1.36
GET /api/items/156,1,114,114,114,114,114,114,114,0.000%,8.77193,3.82,1.60
GET /api/items/817,1,107,107,107,107,107,107,107,0.000%,9.34579,4.07,1.71
PUT /api/items/735,1,124,124,124,124,124,124,124,0.000%,8.06452,3.51,2.32
