Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /api/items,5000,140,140,164,173,191,76,654,0.000%,45.24150,10596.04,8.09
GET /api/items/687,1,89,89,89,89,89,89,89,0.000%,11.23596,4.89,2.05
POST /api/items,1500,140,137,161,169,191,79,1097,0.000%,13.62806,5.91,3.98
PUT /api/items/168,1,74,74,74,74,74,74,74,0.000%,13.51351,5.89,3.88
GET /api/items/629,1,91,91,91,91,91,91,91,0.000%,10.98901,4.79,2.01
PUT /api/items/490,4,124,129,141,141,141,94,141,0.000%,.04259,0.02,0.01
GET /api/items/053,3,119,126,132,132,132,99,132,0.000%,.04618,0.02,0.01
PUT /api/items/579,3,127,139,149,149,149,94,149,0.000%,.03193,0.01,0.01
GET /api/items/596,1,91,91,91,91,91,91,91,0.000%,10.98901,4.79,2.01
GET /api/items/788,1,92,92,92,92,92,92,92,0.000%,10.86957,4.73,1.98
PUT /api/items/842,1,80,80,80,80,80,80,80,0.000%,12.50000,5.44,3.59
GET /api/items/933,3,104,102,110,110,110,102,110,0.000%,.02922,0.01,0.01
PUT /api/items/676,3,116,129,140,140,140,80,140,0.000%,.04062,0.02,0.01
GET /api/items/058,2,111,81,141,141,141,81,141,0.000%,.02032,0.01,0.00
PUT /api/items/058,6,124,124,141,144,144,100,144,0.000%,.06404,0.03,0.02
GET /api/items/817,3,116,120,130,130,130,98,130,0.000%,.06138,0.03,0.01
GET /api/items/528,5,116,122,122,126,126,91,126,0.000%,.08174,0.04,0.01
GET /api/items/682,3,126,135,166,166,166,79,166,0.000%,.03277,0.01,0.01
PUT /api/items/881,3,123,116,157,157,157,96,157,0.000%,.03284,0.01,0.01
GET /api/items/713,1,92,92,92,92,92,92,92,0.000%,10.86957,4.73,1.98
PUT /api/items/893,3,111,119,123,123,123,91,123,0.000%,.02905,0.01,0.01
PUT /api/items/322,7,122,121,138,141,141,97,141,0.000%,.06934,0.03,0.02
GET /api/items/876,2,122,95,149,149,149,95,149,0.000%,.06844,0.03,0.01
GET /api/items/289,3,127,130,143,143,143,108,143,0.000%,.06026,0.03,0.01
GET /api/items/833,3,126,130,151,151,151,97,151,0.000%,.03066,0.01,0.01
PUT /api/items/751,3,117,127,133,133,133,93,133,0.000%,.04060,0.02,0.01
GET /api/items/981,5,114,115,118,147,147,93,147,0.000%,.04742,0.02,0.01
