Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /api/items,500,85,83,106,113,135,54,497,0.000%,26.81253,3877.09,4.82
GET /api/items/032,1,74,74,74,74,74,74,74,0.000%,13.51351,6.78,2.48
POST /api/items,150,105,93,123,136,612,60,906,0.000%,8.29325,3.85,2.43
PUT /api/items/728,1,79,79,79,79,79,79,79,0.000%,12.65823,6.37,3.65
GET /api/items/351,1,83,83,83,83,83,83,83,0.000%,12.04819,6.06,2.21
PUT /api/items/806,1,65,65,65,65,65,65,65,0.000%,15.38462,7.74,4.43
GET /api/items/315,1,65,65,65,65,65,65,65,0.000%,15.38462,7.74,2.82
PUT /api/items/601,1,62,62,62,62,62,62,62,0.000%,16.12903,8.11,4.65
GET /api/items/428,2,86,71,101,101,101,71,101,0.000%,.41314,0.21,0.08
GET /api/items/619,1,77,77,77,77,77,77,77,0.000%,12.98701,6.53,2.38
PUT /api/items/964,1,63,63,63,63,63,63,63,0.000%,15.87302,7.98,4.57
GET /api/items/743,1,79,79,79,79,79,79,79,0.000%,12.65823,6.37,2.32
PUT /api/items/542,1,102,102,102,102,102,102,102,0.000%,9.80392,4.93,2.82
GET /api/items/851,1,63,63,63,63,63,63,63,0.000%,15.87302,7.98,2.91
PUT /api/items/706,1,62,62,62,62,62,62,62,0.000%,16.12903,8.11,4.65
GET /api/items/828,1,70,70,70,70,70,70,70,0.000%,14.28571,7.18,2.62
GET /api/items/662,1,69,69,69,69,69,69,69,0.000%,14.49275,7.29,2.66
GET /api/items/265,1,62,62,62,62,62,62,62,0.000%,16.12903,8.11,2.96
PUT /api/items/651,1,80,80,80,80,80,80,80,0.000%,12.50000,6.29,3.60
GET /api/items/970,1,60,60,60,60,60,60,60,0.000%,16.66667,8.38,3.06
PUT /api/items/319,1,65,65,65,65,65,65,65,0.000%,15.38462,7.74,4.43
PUT /api/items/941,1,65,65,65,65,65,65,65,0.000%,15.38462,7.74,4.43
GET /api/items/034,2,83,81,86,86,86,81,86,0.000%,.33063,0.17,0.06
GET /api/items/298,1,75,75,75,75,75,75,75,0.000%,13.33333,6.71,2.45
GET /api/items/944,1,84,84,84,84,84,84,84,0.000%,11.90476,5.99,2.19
PUT /api/items/852,1,64,64,64,64,64,64,64,0.000%,15.62500,7.86,4.50
PUT /api/items/909,1,64,64,64,64,64,64,64,0.000%,15.62500,7.86,4.50
GET /api/items/951,1,92,92,92,92,92,92,92,0.000%,10.86957,5.47,2.00
PUT /api/items/129,1,64,64,64,64,64,64,64,0.000%,15.62500,7.86,4.50
GET /api/items/960,2,93,92,95,95,95,92,95,0.000%,.37502,0.19,0.07
GET /api/items/377,1,76,76,76,76,76,76,76,0.000%,13.15789,6.62,2.42
GET /api/items/611,1,103,103,103,103,103,103,103,0.000%,9.70874,4.88,1.78
PUT /api/items/308,1,76,76,76,76,76,76,76,0.000%,13.15789,6.62,3.79
PUT /api/items/950,1,90,90,90,90,90,90,90,0.000%,11.11111,5.59,3.20
GET /api/items/402,1,87,87,87,87,87,87,87,0.000%,11.49425,5.78,2.11
