Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /api/items,50,87,90,96,100,106,75,106,0.000%,5.63952,776.58,1.01
GET /api/items/633,1,91,91,91,91,91,91,91,0.000%,10.98901,4.79,2.01
POST /api/items,15,90,92,106,107,108,77,108,0.000%,1.81818,0.79,0.53
PUT /api/items/449,1,95,95,95,95,95,95,95,0.000%,10.52632,4.58,3.02
GET /api/items/481,1,79,79,79,79,79,79,79,0.000%,12.65823,5.51,2.31
PUT /api/items/465,1,92,92,92,92,92,92,92,0.000%,10.86957,4.73,3.12
GET /api/items/586,1,103,103,103,103,103,103,103,0.000%,9.70874,4.23,1.77
PUT /api/items/251,1,92,92,92,92,92,92,92,0.000%,10.86957,4.73,3.12
GET /api/items/575,1,101,101,101,101,101,101,101,0.000%,9.90099,4.31,1.81
GET /api/items/791,1,92,92,92,92,92,92,92,0.000%,10.86957,4.73,1.98
PUT /api/items/014,1,78,78,78,78,78,78,78,0.000%,12.82051,5.57,3.68
GET /api/items/379,1,93,93,93,93,93,93,93,0.000%,10.75269,4.68,1.96
PUT /api/items/716,1,76,76,76,76,76,76,76,0.000%,13.15789,5.73,3.78
GET /api/items/511,1,92,92,92,92,92,92,92,0.000%,10.86957,4.73,1.98
PUT /api/items/901,1,110,110,110,110,110,110,110,0.000%,9.09091,3.96,2.61
GET /api/items/185,1,80,80,80,80,80,80,80,0.000%,12.50000,5.44,2.28
GET /api/items/715,1,91,91,91,91,91,91,91,0.000%,10.98901,4.79,2.01
PUT /api/items/880,1,92,92,92,92,92,92,92,0.000%,10.86957,4.73,3.12
GET /api/items/748,1,78,78,78,78,78,78,78,0.000%,12.82051,5.58,2.34
PUT /api/items/178,1,74,74,74,74,74,74,74,0.000%,13.51351,5.89,3.88
GET /api/items/965,1,76,76,76,76,76,76,76,0.000%,13.15789,5.73,2.40
PUT /api/items/573,1,81,81,81,81,81,81,81,0.000%,12.34568,5.38,3.54
GET /api/items/688,1,88,88,88,88,88,88,88,0.000%,11.36364,4.95,2.08
GET /api/items/817,1,92,92,92,92,92,92,92,0.000%,10.86957,4.73,1.98
PUT /api/items/075,1,77,77,77,77,77,77,77,0.000%,12.98701,5.64,3.73
GET /api/items/300,1,92,92,92,92,92,92,92,0.000%,10.86957,4.73,1.98
PUT /api/items/433,1,89,89,89,89,89,89,89,0.000%,11.23596,4.89,3.23
GET /api/items/145,1,90,90,90,90,90,90,90,0.000%,11.11111,4.84,2.03
PUT /api/items/092,1,98,98,98,98,98,98,98,0.000%,10.20408,4.43,2.93
GET /api/items/666,1,77,77,77,77,77,77,77,0.000%,12.98701,5.66,2.37
GET /api/items/947,1,75,75,75,75,75,75,75,0.000%,13.33333,5.81,2.43
PUT /api/items/110,1,95,95,95,95,95,95,95,0.000%,10.52632,4.58,3.02
GET /api/items/944,1,75,75,75,75,75,75,75,0.000%,13.33333,5.81,2.43
PUT /api/items/973,1,98,98,98,98,98,98,98,0.000%,10.20408,4.44,2.93
GET /api/items/169,1,89,89,89,89,89,89,89,0.000%,11.23596,4.88,2.05
PUT /api/items/081,1,89,89,89,89,89,89,89,0.000%,11.23596,4.87,3.23
GET /api/items/924,1,89,89,89,89,89,89,89,0.000%,11.23596,4.88,2.05
TOTAL,100,88,90,100,105,108,74,110,0.000%,11.27904,779.03,2.40
