Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /api/items,5000,1519,1630,2398,2607,2970,181,3885,0.000%,22.26289,6116.14,4.09
GET /api/items/968,1,159,159,159,159,159,159,159,0.000%,6.28931,2.92,1.18
POST /api/items,1500,859,841,1447,1623,1946,139,2885,0.000%,6.72157,3.38,2.00
PUT /api/items/016,1,142,142,142,142,142,142,142,0.000%,7.04225,3.26,2.06
GET /api/items/725,2,584,162,1007,1007,1007,162,1007,0.000%,.03544,0.02,0.01
PUT /api/items/775,2,366,158,575,575,575,158,575,0.000%,.07536,0.03,0.02
GET /api/items/670,7,782,926,1104,1133,1133,139,1133,0.000%,.03862,0.02,0.01
PUT /api/items/732,1,144,144,144,144,144,144,144,0.000%,6.94444,3.22,2.03
GET /api/items/681,6,845,978,1170,1245,1245,132,1245,0.000%,.04163,0.02,0.01
GET /api/items/910,4,954,709,1829,1829,1829,151,1829,0.000%,.02502,0.01,0.00
GET /api/items/210,4,692,333,1412,1412,1412,142,1412,0.000%,.02423,0.01,0.00
PUT /api/items/550,3,178,180,208,208,208,146,208,0.000%,.01377,0.01,0.00
GET /api/items/913,3,714,940,1067,1067,1067,135,1067,0.000%,.02935,0.01,0.01
PUT /api/items/233,1,148,148,148,148,148,148,148,0.000%,6.75676,3.13,1.97
PUT /api/items/547,2,802,167,1438,1438,1438,167,1438,0.000%,.01929,0.01,0.01
GET /api/items/177,2,329,161,498,498,498,161,498,0.000%,.04342,0.02,0.01
GET /api/items/141,4,612,548,1102,1102,1102,152,1102,0.000%,.02683,0.01,0.01
GET /api/items/721,5,589,752,874,895,895,153,895,0.000%,.02810,0.01,0.01
PUT /api/items/845,3,560,699,819,819,819,164,819,0.000%,.02369,0.01,0.01
PUT /api/items/362,4,467,164,870,870,870,156,870,0.000%,.08538,0.04,0.02
GET /api/items/032,3,435,514,652,652,652,140,652,0.000%,.01633,0.01,0.00
