Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /api/items/{id},10,87,87,94,94,104,77,104,0.000%,1.10011,0.45,0.20
TOTAL,10,87,87,94,94,104,77,104,0.000%,1.10011,0.45,0.20
