Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
PUT /api/items/{id},10000,205,208,251,267,305,78,466,0.000%,86.62659,36.26,24.84
TOTAL,10000,205,208,251,267,305,78,466,0.000%,86.62659,36.26,24.84
