Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
PUT /api/items/{id},100,199,202,205,208,216,176,217,0.000%,5.01555,2.23,1.45
TOTAL,100,199,202,205,208,216,176,217,0.000%,5.01555,2.23,1.45
