Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /api/items,50,66,66,81,85,93,53,93,0.000%,1.01885,107.54,0.18
TOTAL,50,66,66,81,85,93,53,93,0.000%,1.01885,107.54,0.18
