Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /api/items,1,272,272,272,272,272,272,272,0.000%,3.67647,387.77,0.67
TOTAL,1,272,272,272,272,272,272,272,0.000%,3.67647,387.77,0.67
